performance_id,review_id,rating,user_id,date,view_count,like_count,title,text
19018229#,19,5,jhrjhrjhrjhr***예매자,2024.04.11,조회 25,"공감 0
공감하기",오랜만에 정말 즐거웠습니다.,"일단 제가 본 페어 때 언니들 너무 이뻤어요!!ㅎ
배우분들... 연기 정말 잘 하셔요!!
관객들의 추리에 따라 대응하는 연기를 보고 신기했습니다.
여러 경우의 수를 다 대응해낼 수 있다는 것은, 그만큼 연습을 많이 했다는 것이겠죠?
반차를 쓰고 보러갔는데 후회하지 않을 만큼 재미있었습니다.
배우분들 막공까지 힘내서 즐거운 연극 계속 해내시기를 바랍니다!!
감사합니다^_^"
19018229#,20,5,df0***예매자,2024.04.09,조회 22,"공감 0
공감하기","올만에 봐도 역시~
라이브 후기","넘나 잼나네여 ㅎ 새로운 배우들과
오랜만에 함께함 핸복하누시간이였어여^^"
19018229#,21,5,misi***예매자,2024.04.09,조회 27,"공감 0
공감하기",쉬즈어매드니스,재미있어요 ㅎㅎ 다른 엔딩도 보고싶어욤
19018229#,22,5,cjw3***예매자,2024.04.08,조회 21,"공감 0
공감하기",재밌었어요.,2번째 관람인데 미용실 원장님 범인 한 번 만들어보고 싶네요
19018229#,23,3,jwch***예매자,2024.04.08,조회 69,"공감 0
공감하기",방식은 신선하나 낡은 내용,1부 2부로 나누어져 전 내용을 재현한다는 것과 관객들이 직접 질문하고 참여할 수 있다는 방식은 상당히 새롭고 재밌었습니다. 하지만 공연 시작 전 진행하는 쇼의 내용 일부와 극중 특정 캐릭터에 대한 해석이 불쾌했습니다. 시대에 따라 내용을 좀 변화하면 좋을 것 같아요.
19018229#,24,4,somina1***예매자,2024.04.08,조회 33,"공감 0
공감하기",추리 연극이라 신선했어요,관객 참여형 연극이었습니다 ㅎㅎ
19018229#,25,5,dlxowhd2***예매자,2024.04.07,조회 19,"공감 0
공감하기",와우,추리하는 재미도 있고 소심해서 참여는 많이 못했지만 잼있었어용
19018229#,26,5,ggamg***예매자,2024.04.06,조회 42,"공감 0
공감하기","쉬어메드니스 세번째 관람!
라이브 후기","오늘로 세번째 관람했는데 좌석마다 재미가 달라서 너무 좋은 거 같아요ㅎㅎ 제일 가운데쪽은 시야가 좀 가려져서 전체적인 무대를 보고싶으신 분들은 위층에서 보시면 좋을 거 같아요
배우분들 연기도 훌륭하고 특히 김범준 배우님.. 무대에서 날아다니시던데 너무 멋지신 거 같아요
다음주에 또 볼 예정이에요"
19018229#,27,5,Hail1***예매자,2024.04.05,조회 40,"공감 0
공감하기",쉬어매드니스,"친구랑 또 보러왔는데
역시 1위에는 이유가 있는것같다"
19018229#,28,5,Hail1***예매자,2024.04.05,조회 32,"공감 0
공감하기",쉬어매드니스,엄마랑 같이 봤는데 재미있었다
19018229#,29,5,Hail1***예매자,2024.04.05,조회 32,"공감 0
공감하기",쉬어매드니스,흥미롭고 재미있다
