performance_id,review_id,rating,user_id,date,view_count,like_count,title,text
24000171,0,5,trees***예매자,2023.06.11,조회 2691,"공감 238
공감하기",베스트인생라면 인생연극,"오랜만에 대학로 연극을 보려고 검색하다 눈에 띈 인생라면이 제 인생연극이네요~~ 그만큼 넘넘 현실적인 내용에 공감되고 중간중간 배꼽 잡는 웃음포인트도 있어서 정말 시간 가는 줄 모르고 관람했어요!!
특히 잘생긴 남주, 예쁜 여주, 이름도 이쁜 희선씨, 경필씨 ""프라푸치노~~"", ""동대문구 평정한 오빠"" 등등 모든 배우분들 자연스러운 연기도 넘 좋았어요.
나중에 친구 데리고 재관람 각이네요~
다들 좋은 공연에 힐링하세요!!"
24000171,1,5,trazo***예매자,2023.06.05,조회 2082,"공감 225
공감하기","베스트간만에 좋은 연극 보고 해피하군요.
라이브 후기","언젠부턴가 대학로 연극마당에 억지 웃음이나 외설로 관객을 끌어모으려는 현상이 전개되면서 대학로 연극에 대한 불신이 조금씩 생기기 시작했습니다.
연극 라면은 무겁지 않은 소재를 가지고 절묘하게 남녀간의 생각차이와 사랑이야기를 엮어 만든 연극이더군요. 억지로 웃음을 끌어내는 것이 아닌 상황과 대사, 배우들의 호흡으로 재미를 이끌어내는 것이 맘에들었습니다.
다재다능한 배우분들의 연기력과 톱니바퀴 돌아가듯 잘 맞아떨어지는 극의 진행, 극중 배역의 이미지와 잘 어울리는 배우들의 외모, 가벼우면서도 가볍지 않은 소재와 스토리텔링이 돋보이는 연극입니다.
간만에 재밌고 좋은 연극을 보게되어 남은 오늘 하루가 더 즐거울 것 같습니다.
2023년 6월 5일 2시30분 공연 배우님들, 수고하셨습니다."
24000171,2,5,hyowon***예매자,2023.05.30,조회 2689,"공감 227
공감하기",베스트아기 고양이.. 후기 남기러 왔습니다~~ (어머니가 더 만족♥),"안녕하세요~

평소 뮤지컬, 연극, 공연 보러 다니는 걸 좋아하는데 연극 라면은 너무 재밌게 보고 와서, 후기라는 걸 처음 써 봐요!
5월 29일 월요일에 어머니와 함께 보고 왔어요~

캐스팅은 은실역의 민유리 배우님, 희선&방여사역의 엄선영 배우님, 만수역의 이한 배우님, 경필역의 엄준연 배우님, 멀티맨역의 유우헌 배우님이었구요.

배우님들 다들 원래 성격을 캐릭터에 녹아내셨나? 할 정도로 너무 연기를 잘 하셔서 보는 내내 감탄했어요!
조명/세트/배경음악을 포함한 무대장치들에 신경을 많이 쓰신 게 느껴져서, 몰입감 최고였어요!

배우님들 대사 속의 티키타카 하나하나가 정말 찐 대사인지, 애드립인지 구분이 되지 않을 정도로 물 흐르듯 너무 자연스럽고, 중간 중간 토킹 포인트들이 다 웃음을 유발하는 코드를 담고 있어서, 정말 재미있고 유독 기억에 많이 남는 것 같아요.

처음에는 단순 로맨스극인가? 생각했는데, 로맨스와 가족애를 다 포함하고 있는 연극 장르라고 느껴지더라구요.

은실&만수 씬에서는 커플 사이에서 일어나는 크고 작은 사건들을 다루고 있어서 많은 공감을 느낄 수 있었고,
희선&경필 씬에서는 당연하다고 착각할 수 있는 무엇보다 소중한 부부의 관계를,
방여사&은실 씬에서는 ''엄마''라는 단어 자체가 가지는 울컥함을 느끼며, 눈가가 촉촉해 지더라구요.
그래서 커플끼리 와도, 부모님을 모시고 와도 너무 좋을 것 같습니다.

극 중간에 아기 고양이가 되어서 깜짝 놀랐고, 생각하지도 못했던 선물도 받아서 더 잊지 못할 것 같아요.
연극 많이 보러 다녔지만, 이렇게 뭘 받아 본 적은 처음이라 더욱 더 기억에 남을 것 같아요!
우헌 배우님께서 제가 혹시나 기분 나빠하지 않았을까 염려하셨을 것 같은데, 전혀 그렇지 않았구요ㅎㅎ
어머니께서도 엄청 좋아하셨어요~

연극 끝나고 나서, 어머니와 함께 한강에서 농심 라면도 먹었어요~~
사실 라면 별로 즐겨 먹지 않아서, 한강 라면은 처음이었는데!
한강에서 먹는 농심 라면.. 최고더라구요..!
어머니와 잊지 못할 추억 만들게 해주셔서 감사해요!

후기 올리려고 일부러 사진도 많이 찍었는데, 사진/동영상은 첨부가 안 되어서 아쉽네요!
주변에도 연극 라면 열심히 추천하고 있는데, 벌써 친구들이 예매 완료했다고 해요ㅋㅋㅋ

배우님들 너무 고생 많으셨고, 출연하시는 다음 연극에도 기회가 된다면 꼭 보러 갈게요!

배우님들 모두 화이팅입니다!"
24000171,3,5,mxuh***예매자,2023.05.30,조회 1550,"공감 225
공감하기",베스트태어나서 처음 본 연극!!적극 추천,"안녕하세요, 저는 32년 정도 살면서 연극을 처음 본 사람인데요, 지방애 살다보니 이런 문화를 접해보기가 많이 어려운것도 있엇어요 ,
32년을 살면서 첫 연극이 연극라면이였습니다!!!후기도 많이보고 감동과 재미를 한꺼번에 줄 수 있는 연극은 뭘까? 고민하다가 선택하게되었습니다, 저한테는 도전이였어요^^
그리고 저한테 첫 연극은 너무나도 성공적이였어요, 뭐든 첫시작이 중요하잖아요 ?
이 계기로 저는 연극을 자주볼 것 같습니다 ,
영화랑은 또 다른 느낌이더라구요!!또 다른 매력이 있다는 걸 느꼇습니다
배우님들과 소통도 할 수 있고, 너무 열심히 하시는 모습에
너무 멋지고 ,감동이였습니다,

저는 연극라면을 계기로 연극이 좋아졌습니다 ,

앞으로 연극을 많이 보러갈 것 같습니다,

앞으로도 많은 다양한 장르의 연극이 활성화되길 조심스럽게 바래봅니다!!!!!!


연극하시는 배우님들 고생하셨어요! 오랜만에 참 힐링이되는 연극이였습니다, 아이를 키우고 누군가의 아내와 누군가의 부모가되면서 혼자만의 시간을 가져본적이 많이없엇어요, 오롯이 나 자신한테 뭔가를 해주고싶다, 내 자신에게도 힐링을 주자라는 생각에 연극을 선택했어요!! 정말이지 감동과 재미 주셔서 너무감사합니다^_^"
24000171,4,5,parksn5***예매자,2023.03.28,조회 2333,"공감 295
공감하기","베스트자기전까지 생각나서 웃었던 연극,,,","사람들의 후기가 좋은 이유가 있었다,, 배우분의 처음 등장부터 연극이 끝날 때 까지 너무 웃어서 얼굴 근육이 아플 정도입니다,,,★ 스토리도 완벽하고 배우분들 연기를 보다보면 저희 엄마아빠를 보는 것 같아서 너무 향수병 걸릴 것 같아요,, 다음에는 부모님도 모시고 관람해야겠습니다!! 소중한 추억 만들어주셔서 감사해요~~!!"
24000171,5,5,kke0***예매자,2023.03.17,조회 1502,"공감 298
공감하기",베스트꼭 보세요 ..,"서울 여행에서 하고 싶었던 것 중 하나가 연극보는거였는데 그냥 너무 재밌었어요.!

일단 아주 가까이서 실감나게 연기를 볼 수 있어서 정말 좋았고 중간중간 웃긴 부분이 많아서 웃음이 입에서 떠나질 않았어요 ㅎㅎ
친구들이랑 계속 웃으면서 봐서 그냥 너무 재밌다 연극 너무 좋다 이런 생각이 맴도는 것 같아요 ㅠㅠ

마냥 연애 이야기만이 아니라서 내용이 더 좋았고 집중도 잘됐던 것 같아요. 웃음과 감동이 함께 있는 연극이라 정말 추천할 수 있을 것 같아요..

연극보는 내내 행복했습니다 ㅎㅎ 첫 연극의 시작이 좋아서 앞으로 연극에 관심 많이 가지고 즐겨볼 것 같아요!!??"
24000171,6,5,dmswjd***예매자,2023.02.24,조회 1660,"공감 313
공감하기",베스트강.력.추.천 (진심10000000%),"원래 후기 잘 안쓰는데 정말 재밌게봐서 씁니다!!

남자친구랑 저랑은 오래만난 커플이라 취향도 비슷해져서그런지 로맨스류 연극은 별로 안좋아해요
사실 연극라면은 커플이 나오는건 알았지만 그 커플이 라면가게를 운영하면서 어떤일이 벌어지냐 뭐.. 그런연극인지알고 예매한거였거든요.. 근데 연극시작하는데 로맨스류의 연극인거같아서 속으로 아차했습니다
근데 연극 끝나고 나온 이후로 남자친구랑 계속 와 진짜재밌다재밌다 계속.. 연극끝나고 술한잔 하러갔는데도 연극얘기 많이했어요
연극 내용을쓰면 스포일거같아서 자세히 쓰지는 못하겠지만
""어떻게 저런 연출을하지? 진짜똑똑하다 너무재밌다 그때우리엄청웃었지"" 이런 대화도 했구요
처음부터 끝까지 정말 재밌는데 중간중간 웃긴장면이 아니어도 뭔가 짠한장면도있고 제 학창시절 모습보는거같아서 엄마미소 지으면서 보기도 했습니다! 엄청 빵터져서 박수치면서 본것도있고 !
제가 본 연극중에 최고로 재밌었다고 말할 수 있을정도로 정말 재밌게 보고 왔습니다!

제가 봤던 배우님들 성함은
호천, 김이선, 엄준연, 한아름, 김동현 배우님들이고
이 배우님들 캐릭터가 정말 본캐인것처럼 정말 찰떡이였어요
이렇게 말해도 되는건지는 모르겠지만 생김새?인상? 이랑 정말 찰떡..
그래서 더 몰입이 잘 된것같기도 합니다!
연기를 너무너무 다 잘하셔서 다른 연극을 또 하신다면 그 연극도 보러가고싶을정도!!
연극라면 자체도 또 보고싶어요! 다른 배우님들 연기는 또 다른느낌이날지 그것도 궁금합니다

정말 너~무 재밌게봤고 오랜만에 하는 문화생활이었는데 행복하게 해주셔서 고맙습니다!
연극라면 최고! 강추강추!! ★★★★★

PS. 집에와서 라면끓여먹었습니다........ 농심최고..♡"
24000171,7,5,thdud6***예매자,2023.02.06,조회 1900,"공감 324
공감하기",베스트남자친구에게 첫 연극보여주기 대성공!,"남자친구가 연극이 처음이라 내용이 너무 무겁지 않고 가볍게 볼 수 있는 연극을 원했었는데,
보는장면마다 빵터지고 공감가는 내용도 많고 잔잔한 감동까지! 시간가는줄 모르고 보고왔습니다
남자친구에게 보여줄 첫연극으로 라면을 선택하길 정말 잘했다는 생각이 들었어요!!!!!
남자친구도 정말 만족하고 재밌다고 말해줘서 뿌듯했어요~~~!
저 역시도 대학로에서 연극을 몇번 보았지만 제가 본 연극중에 손에 꼽을만큼 재밌게 보고 온 연극이에요!!
조명이나 무대장치 배경음악도 연극을 더 집중할 수 있게 신경을 많이 쓴게 느껴졌고
배우분들도 표정,몸짓,발성 디테일하게 잘 살리셔서장면마다 몰입하면서 볼 수 있도록 연기를 잘 해주신덕분에 너무 너무 감사히 잘보고 왔습니다
이제부터 연극데이트 많이 많이 할 수 있을거 같아요~
주변에서 연극보러 간다하면 ‘라면’ 꼭 추천할게요!!!"
24000171,8,5,APA***예매자,2023.01.11,조회 1971,"공감 331
공감하기","베스트공감하면서 웃고 마지막에는 감동까지 준 인생 연극이었습니다.
라이브 후기","초등학생인 제 아들과 재미있는 연극을 찾던 중에 평점이 좋고 ''재미있다"" 내용이 많아서 선택하게 되었습니다. 2023년 1월 11일 2시 30분 공연을 봤습니다. 처음에는 단순한 재미를 주는 연극으로 생각했지만, 저와 비슷한 시기에 살았던 사람의 이야기였습니다. 연극이 시작되기 전부터 저의 중고등학교 시절 및 대학생활을 즐겁게 보내게 해주었던 노래가 나와서 제 아들에게 추억 이야기를 했었습니다. 그 추억을 연극에서 내내 되살려주었네요 듀스의 나를 돌아봐 노래가 나왔을 때는 먼저 세상을 떠난 듀스 멤버 김성재를 생각하면서 그 당시 친구들이 추웠던 듀스 춤을 생각나게 했습니다. 2002년 월드컵 16강 이탈리아전 부분에서 그 당시 군복무를 했던 저를 떠올렸습니다. 만수와 은실의 사랑이야기에 등장하는 삐삐와 공중전화를 보면서 8282 등의 당시 유행했던 번호 등이 제 머리를 스쳐지나갔네요.
저의 마음을 기쁘게 했던 신해철의 노래도 많이 나와서 좋았습니다. 연극을 관람하고 집에서 추억의 노래를 유튜브를 통해서 듣고 있습니다.
연애와 결혼을 하면서 달라진 연인과 부부사이 그리고 가끔씩 다투면서 사랑하고, 또한 서로를 이해하는 과정등이 좋았습니다.
라면이라는 음식에 얽힌 사연 이야기에는 저도 모르게 부모님이 생각났네요, 대한민국 사람이라면 라면에 관련된 이야기는 무궁무진할 듯 합니다.
오늘 연극을 통해서 큰 웃음도 주시고 감동도 주고, 또한 아들과 추억을 쌓고 저는 다시 그 시절을 되돌아보면서 2023년 미래를 즐겁게 보낼 것을 다짐합니다."
24000171,9,5,l9930***예매자,2022.12.20,조회 1074,"공감 344
공감하기","베스트오랜만에 웃음과 여유를 찾았어요
라이브 후기","쉬는 날이어서 정말 오랜만에 연극을 봤어요 일상에 지쳐있던 요즘 라면 연극을 보면서 많이 웃고 즐겁게 봤네요 연극 후기가 좋은 이유가 있더라구요 정말 진한 웃음과 마지막에는 감동까지 받아가서 배우님들께 너무 감사드리네요! 라면 먹을 때마다 라면 연극 본 걸 떠올릴 것 같아요 줄거리나 배우분들 연기가 기억에 오래오래 남을 것 같은 연극인 것 같아요
얼마남지않은 22년 마지막을 라면 연극을 보면서 시간을 보내서 90분이 행복했습니다 앞으로 더 흥~했음 좋겠어요????"
